Armenian Script,Translit.,English Meaning,Example Sentence + [Translation],Grammar (Root/Infinitive + Imperative),Cheat Phrase (Mnemonic),Topic/Tag
գրիչ,grich',pen,Կարո՞ղ եմ քո գրիչը վերցնել մի րոպեով։ [Can I take your pen for a minute?],Root: գր- (gr- 'to write'). The -իչ (-ich) is a suffix for instruments/agents. Definite form: գրիչը (grich'uh). Plural: գրիչներ (grich'ner).,I 'reach' for my pen.,Objects & Tools
դա,da,that (one),Դա իմ գիրքը չէ։ [That is not my book.],Demonstrative pronoun. Points to something relatively far from the speaker.,"""DA!"" says the strict librarian, pointing at ""that"" overdue book.",General
դանակ,danak,knife,"Խնդրում եմ, ինձ մի դանակ տուր։ [Please, give me a knife.]",Noun. Root: դանակ (danak). Definite form: դանակը (danak@). Plural: դանակներ (danakner).,He has 'DA KNACK' for chopping vegetables with a knife.,Objects & Tools
դառը,darr@,bitter,Այս դեղը շատ դառն է։ [This medicine is very bitter.],Adjective. Root: դառն (darrn). The base form is դառը.,"This coffee is so bitter, 'DARR-N' it!",Adjectives & Qualities
դար,dar,century,Այս շենքը կառուցվել է անցյալ դարում։ [This building was built in the last century.],Noun. Root: դար (dar). Definite form: դարը (dar@). Plural: դարեր (darer).,It took them a century to build the 'DARk' castle.,"Time, Calendar & Seasons"
դեկտեմբեր,դեկտեմբեր,December,"Դեկտեմբերին մենք զարդարում ենք տոնածառը։ [In December, we decorate the Christmas tree.]",Noun. Root: դեկտեմբեր (dektember). Cognate with English 'December'.,"In 'DEKTEMBER,' we 'deck the halls' for the holidays.","Time, Calendar & Seasons"
դեղատուն,deghatun,pharmacy,"Գլխացավի դեղ գնելու համար պետք է գնալ դեղատուն։ [To buy headache medicine, you need to go to the pharmacy.]",Compound Noun. From դեղ (degh - medicine) + տուն (tun - house). Literally 'medicine house'.,The only radio station I get is 'DEGH-A-TUNE' from the pharmacy next door.,Places & Buildings
դեղին,deghin,yellow,Արևը դեղին է և շատ պայծառ։ [The sun is yellow and very bright.],Adjective. Root: դեղին (deghin).,The little yellow chick is 'DEGHIN' a hole in the ground. (digging),Adjectives & Qualities
դեսպան,despan,ambassador,Ֆրանսիայի դեսպանը ելույթ ունեցավ համալսարանում։ [The ambassador of France gave a speech at the university.],Noun. Root: դեսպան (despan). Definite form: դեսպանը (despan@).,Don't use 'THIS PAN' to cook for the ambassador.,Professions & Occupations
դեսպանատուն,despanatun,embassy,"Վիզա ստանալու համար պետք է գնալ դեսպանատուն։ [To get a visa, you must go to the embassy.]",Compound Noun. From դեսպան (despan - ambassador) + տուն (tun - house). Literally 'ambassador house'.,The embassy plays a special 'DESPAN-A-TUNE' every morning.,Places & Buildings
դերասան,derasan,actor,Այս դերասանը խաղում է իմ սիրելի ֆիլմում։ [This actor plays in my favorite movie.],Noun. Root: դերասան (derasan). Female form is դերասանուհի (derasanuhi).,They 'DARE A SON' of theirs to become an actor.,Professions & Occupations
դժգոհ,dzhgoh,displeased,Ուսուցիչը դժգոհ էր իմ աշխատանքից։ [The teacher was displeased with my work.],Adjective. Formed with the negative prefix դժ- (dzh-) + գոհ (goh - pleased).,"The displeased customer shouted, 'DZH-GOH away!'",Emotions & Physical States
դիվանագետ,divanaget,diplomat,Դիվանագետը պետք է լինի շատ զգույշ իր խոսքերում։ [A diplomat must be very careful with his words.],Noun. Root: դիվանագետ (divanaget). Definite form: դիվանագետը (divanaget@).,The diplomat wanted to 'DIVE-ON-A-JET' to get to the meeting.,Professions & Occupations
դիտել,ditel,to watch,Ես սիրում եմ երեկոյան նորություններ դիտել։ [I like to watch the news in the evening.],Verb. Infinitive: դիտել (ditel). Imperative: դիտի՛ր (ditir).,DI-TELL' me what you want to watch on TV.,Actions & Verbs
դու,du,you (singular),Դու հայերեն հասկանու՞մ ես։ [Do you understand Armenian?],"Pronoun. Second person singular, informal.",DO' you know who I am talking to? I'm talking to you!,General
դուռ,durr,door,Թխկացրու դուռը մտնելուց առաջ։ [Knock on the door before entering.],Noun. Root: դուռ (durr). Definite form: դուռը (durr@).,A cat with a loud purr is waiting at the 'DOOR'.,Home & Furniture
դուստր,dustr,daughter,Նրա դուստրը շատ գեղեցիկ է։ [His daughter is very beautiful.],Noun. Root: դուստր (dustr). Definite form: դուստրը (dustr@). Plural: դուստրեր (dustrer).,My daughter cleaned up all the 'DUST' for her mother.,People & Family
դուրս,durs,out / outside,Երեխաները խաղում են դրսում։ [The children are playing outside.],Adverb. Root: դուրս (durs).,He 'DURST' (burst) out the doors to get outside.,Travel & Transportation
դուք,duk',you (plural / formal),Դուք որտեղի՞ց եք։ [Where are you (formal/plural) from?],Pronoun. Second person plural or formal singular.,A 'DUCK' is asking 'you all' for some bread.,General
դպրոց,dprots',school,Ամեն առավոտ ես գնում եմ դպրոց։ [Every morning I go to school.],Noun. Root: դպրոց (dprots'). Definite form: դպրոցը (dprots'@).,DA PROS' all go to this school to get better.,Places & Buildings
դրամ,dram,money / AMD,Այս գլխարկը հինգ հազար դրամ արժե։ [This hat costs five thousand dram.],Noun. The national currency of Armenia. Also means 'money' in general.,I had a 'DRAM' (dream) that I had a lot of money.,Numbers & Quantity
դրանք,drank',those,Դրանք իմ գրքերն են։ [Those are my books.],"Demonstrative pronoun, plural of 'դա' (da - that).",Those guys drank all the juice!,General
ե՞րբ,erb,when,Ե՞րբ ես գալու։ [When are you coming?],Interrogative adverb. Often used at the beginning of a question.,When did you plant that herb?,"Time, Calendar & Seasons"
ելակ,elak,strawberry,Ես շատ եմ սիրում ելակ։ [I love strawberries very much.],Noun. Definite form: ելակը (elakuh). Plural: ելակներ (elakner).,There's a lack of strawberries in my dessert.,Food & Dining
եղբայր,eghbayr,brother,Իմ եղբայրը բժիշկ է։ [My brother is a doctor.],Noun. Definite form: եղբայրը (eghbayruh). Root: 'եղբայր'.,My brother is a spy who goes by Eghbayr.,People & Family
ես,es,I,Ես Հայաստանից եմ։ [I am from Armenia.],"Personal pronoun, first person singular. Nominative case.",I am the best!,General
երաժիշտ,erazhisht,musician,Նա տաղանդավոր երաժիշտ է։ [He/She is a talented musician.],Noun. Definite form: երաժիշտը (erazhishtuh). Derived from երաժշտություն (erazhshtut'yun - music).,The musician erased his bad notes.,Professions & Occupations
երբեմն,erbemn,sometimes,Երբեմն ես թեյ եմ խմում առավոտյան։ [Sometimes I drink tea in the morning.],Adverb of frequency. Combines 'երբ' (erb - when) and a particle.,Herb men sometimes come to my garden.,"Time, Calendar & Seasons"
երբեք,erbek',never,Ես երբեք այնտեղ չեմ եղել։ [I have never been there.],"Adverb of frequency. Used with a negative verb (e.g., չեմ, չի).",I will never wear a fur beck-lace.,"Time, Calendar & Seasons"
երգիչ,ergich',singer,Այս երգիչը հիանալի ձայն ունի։ [This singer has a wonderful voice.],Noun. Definite form: երգիչը (ergich'uh). From the verb 'երգել' (ergel - to sing).,The singer got an ear itch from the loud music.,Professions & Occupations
երեխա,erekha,child,Այգում շատ երեխաներ կան։ [There are many children in the park.],Noun. Definite form: երեխան (erekhan). Plural: երեխաներ (erekhaner).,"The child caused a wreck, ha!",People & Family
երեկ,erek,yesterday,Երեկ ես կինո գնացի։ [Yesterday I went to the cinema.],Adverb of time.,"Yesterday, I had a wreck in my car.","Time, Calendar & Seasons"
երեկո,ereko,evening,Այս երեկո համերգ կա։ [There is a concert this evening.],Noun. Definite form: երեկոն (erekon). Related to 'երեկ' (erek - yesterday).,"Eric, oh, it's already evening!","Time, Calendar & Seasons"
երեսուն,eresun,30,Նա երեսուն տարեկան է։ [He/She is 30 years old.],"Cardinal number. Formed from 'երեք' (erek' - three) and 'սուն' (sun - ten, an old suffix).",Erase soon; we need 30 copies.,Numbers & Quantity
երեք,erek',3,Ես երեք խնձոր ունեմ։ [I have three apples.],Cardinal number.,I have a wreck with 3 cars.,Numbers & Quantity
երեքշաբթի,erek'shabt'i,Tuesday,Երեքշաբթի հանդիպում ունենք։ [We have a meeting on Tuesday.],"Noun. Literally 'third day of the week' (երեք = three, շաբթի = week/Saturday).",A wreck shabby on Tuesday.,"Time, Calendar & Seasons"
երիտասարդ,eritasard,young,Նա երիտասարդ և խելացի է։ [He/She is young and smart.],Adjective. Can also be used as a noun meaning 'a young person'.,The young man ate a sardine.,Adjectives & Qualities
երկար,erkar,long,Այս ճանապարհը շատ երկար է։ [This road is very long.],Adjective.,That's a long air car.,Adjectives & Qualities
երկնագույն,erknaguyn,light blue,Նրա աչքերը երկնագույն են։ [His/Her eyes are light blue.],Adjective. Compound word: երկինք (erkinq' - sky) + գույն (guyn - color). Literally 'sky-colored'.,Light blue is the heir-can-go-in color for the royal baby's room.,Adjectives & Qualities
երկու,erku,2,Ես երկու տոմս եմ ուզում։ [I want two tickets.],Cardinal number.,I have 2 kangaroos that say Er-koo!,Numbers & Quantity
երկուշաբթի,erkushabt'i,Monday,Երկուշաբթի աշխատանքի եմ գնում։ [I go to work on Monday.],"Noun. Literally 'second day of the week' (երկու = two, շաբթի = week/Saturday).","On Monday, I saw air-coo-shabby pigeons.","Time, Calendar & Seasons"
երջանիկ,erjanik,happy (joyful),"Ես շատ երջանիկ եմ, որ տեսնում եմ քեզ։ [I am very happy to see you.]","Adjective. The root word is related to երջանկություն (erjankut’yun), which means 'happiness'.",An 'air janitor' named Nick (Er-ja-nik) is always happy while cleaning the sky.,Emotions & Physical States
զանգել,zangel,to call,Պետք է զանգեմ մայրիկիս։ [I have to call my mom.],"Verb. Infinitive: զանգել (zangel). Imperative: զանգի՛ր (zangir). The root is 'զանգ' (zang), which means 'bell'.","To call her, he 'sang Elle' a song over the phone.",Actions & Verbs
զավակ,zavak,child,Նրանք երկու զավակ ունեն՝ một տղա և մի աղջիկ։ [They have two children: a boy and a girl.],Noun. Definite form: զավակը (zavakə). Plural: զավակներ (zavakner). It is a slightly more formal term for a child than երեխա (yerekha).,The child is playing with a 'Z-vac'uum cleaner.,People & Family
զարմացած,zarmats'ats,surprised,Ես զարմացած էի նրա նվերից։ [I was surprised by his gift.],"Participle/Adjective from the verb զարմանալ (zarmanal), 'to be surprised'.",I was surprised when I saw 'Zarma's cats' all wearing hats.,Emotions & Physical States
զարմիկ,zarmik,cousin (male),Իմ զարմիկը ինձնից երկու տարով մեծ է։ [My cousin is two years older than me.],Noun. Definite form: զարմիկը (zarmikə). The female form is զարմուհի (zarmuhi).,My cousin Nick drives a 'Zar' (a car). He's 'Zar-Nick'.,People & Family
զարմուհի,zarmuhi,cousin (female),Իմ զարմուհին շատ լավ է նկարում։ [My cousin paints very well.],"Noun. Definite form: զարմուհին (zarmuhin). The suffix -ուհի (-uhi) indicates female, like in ուսուցչուհի (usuts'chuhi - female teacher).",My cousin goes 'hee hee' while driving her 'Zar-Moo'ving van.,People & Family
զբաղված,zbaghvats,busy,Այսօր աշխատանքի վայրում շատ զբաղված օր էր։ [Today was a very busy day at work.],"Participle/Adjective from the verb զբաղվել (zbaghvel), 'to be occupied with'.",I'm too busy to clean this 'Z-bug vat'.,Adjectives & Qualities
զուգարան,zugaran,toilet,"Կներեք, որտե՞ղ է զուգարանը։ [Excuse me, where is the toilet?]",Noun. Definite form: զուգարանը (zugaranə).,A 'zoo car ran' into the toilet building.,Places & Buildings
զրո,zro,0,Ջերմաստիճանը զրո աստիճան է։ [The temperature is zero degrees.],"Number/Noun. An international word, very similar to 'zero'.",A superhero named 'Z-Ro' has the power to make things disappear.,Numbers & Quantity
էժան,ezhan,cheap,Այս գիրքը բավականին էժան է։ [This book is quite cheap.],Adjective. The opposite of թանկ (t'ank) - 'expensive'.,"Hey, Jean!', this is so cheap!",Adjectives & Qualities
էժան տանձ,ezhan tandz,cheap pears,Շուկայում մի կիլոգրամ էժան տանձ գնեցի։ [I bought a kilogram of cheap pears at the market.],Noun phrase. էժան (ezhan) 'cheap' is an adjective modifying տանձ (tandz) 'pear'.,Imagine 'Eugene dancing' because he found such cheap pears.,Food & Dining
էներգիա,energia,energy,Առավոտյան վարժությունները ինձ էներգիա են տալիս։ [Morning exercises give me energy.],Noun. An international word. Definite form: էներգիան (energian).,It sounds almost identical to 'energy'.,General
էշ,esh,donkey,"Գյուղում մի ծերունի իր էշով գնում էր դաշտ։ [In the village, an old man was going to the field with his donkey.]",Noun. Definite form: էշը (eshə). Plural: էշեր (esher).,"The donkey made a mess, leaving a pile of 'ash'.",Animals
ընկեր,enker,friend,Նա իմ մանկության ընկերն է։ [He is my childhood friend.],Noun. Definite form: ընկերը (enkerə). Female friend: ընկերուհի (enkeruhi).,"My friend works at an 'ink air' factory, making ink out of thin air.",People & Family
ընտանիք,entanik',family,Իմ ընտանիքը շատ մեծ է։ [My family is very large.],Noun. Definite form: ընտանիքը (entanik'ə).,My entire family is having a picnic on an 'ant-hill'. (@nt-anik),People & Family
ընտրել,@ntrel,to choose,Դժվար է ընտրել այս երկու գույներից։ [It's hard to choose between these two colors.],Verb. Infinitive: ընտրել (@ntrel). Imperative: ընտրի՛ր (@ntrir).,I need to choose which 'ant' can 'drill' the best. (@nt-rel),Actions & Verbs
թանկ,t'ank,expensive,Այս ռեստորանը շատ թանկ է։ [This restaurant is very expensive.],Adjective. Opposite of էժան (ezhan) - 'cheap'.,That military 'tank' must be very expensive.,Adjectives & Qualities
թարգմանել,t'argmanel,to translate,Խնդրում եմ թարգմանել այս բառը։ [Please translate this word.],Verb. Infinitive: թարգմանել (t'argmanel). Imperative: թարգմանի՛ր (t'argmanir).,"To translate, I have a 'target man L'—a man with an L on his shirt who helps me.",Actions & Verbs
թարմ,t'arm,fresh,Ես սիրում եմ թարմ մրգեր ուտել։ [I like to eat fresh fruits.],"Adjective. Can be used for food, air, news, etc.",The fresh produce is delivered right to 'the arm' of the house.,Food & Dining
թե,t'e,or / kind of if,"Սո՞ւրճ կխմես, թե՞ թեյ։ [Will you drink coffee or tea?]","Conjunction. Used to present choices, often in questions (թե՞). It sounds similar to թեյ (t'ey), which means 'tea'.",It's easy! Do you want coffee 'or' (թե) 'tea' (թեյ)?,General
թեյ,t'ey,tea,Առավոտյան սիրում եմ թեյ խմել։ [I like to drink tea in the morning.],"Root: թեյ (t'ey). Definite form: թեյը (t'ey@). An international loanword, making it easy to remember.","I ""T'EY""-ke my tea with lemon.",Food & Dining
թենիս,t'enis,tennis,Դու թենիս խաղո՞ւմ ես։ [Do you play tennis?],Root: թենիս (t'enis). Definite form: թենիսը (t'enis@). A direct borrowing from the international word for 'tennis'.,"This ""T'ENIS"" racket is a menace.",Actions & Verbs
թոշակ,t'oshak,pension,Տատիկս արդեն թոշակի է անցել։ [My grandmother has already retired (gone on pension).],Root: թոշակ (t'oshak). Definite form: թոշակը (t'oshak@).,"He ""T'OSHAK"" the pension check and ran away.",Professions & Occupations
թոշակառու,t'oshakarrru,retiree,Այգում շատ թոշակառուներ կան։ [There are many retirees in the park.],Compound word: թոշակ (t'oshak - pension) + առու (arru - taker). A person who takes a pension. Plural form: թոշակառուներ (t'oshakarruner).,"A ""T'OSHAK-ARRRU"" (retiree) is like a pirate saying ""Arrrr, you took my pension!""",People & Family
թոռ,t'orr,grandchild,Նա իր թոռան հետ զբոսնում է։ [She is walking with her grandchild.],Root: թոռ (t'orr). Plural: թոռներ (t'orrner). Definite form: թոռը (t'orr@).,"The grandchild ""T'ORR"" the new curtains.",People & Family
թուղթ,t'ught',paper,Ինձ մի թերթ թուղթ կտա՞ս։ [Will you give me a sheet of paper?],Root: թուղթ (t'ught'). Definite form: թուղթը (t'ught'@).,"I ""T'UGHT'"" (thought) I had some paper, but I was wrong.",Objects & Tools
ժամ,zham,hour,Ֆիլմը տևում է երկու ժամ։ [The movie lasts for two hours.],Root: ժամ (zham). Plural: ժամեր (zhamer). Also used to ask the time: Ժամը քանի՞սն է։ (Zham@ k'anisn e?) - What time is it?,"I can eat a whole jar of ""ZHAM"" (jam) in one hour.","Time, Calendar & Seasons"
ժամացույց,zhamats'uyts',watch / clock,Իմ ժամացույցը հետ է մնում։ [My watch is slow.],Compound word: ժամ (zham - hour) + ցույց (ts'uyts' - to show). Literally an 'hour-shower'. Definite form: ժամացույցը (zhamats'uyts'@).,"My ""ZHAM-ATS'UYTS'"" shows it's time to put jam on suits.",Objects & Tools
ի՞նչ,inch',what,Այսօր ի՞նչ ես անելու։ [What are you going to do today?],Root: ի (i). An interrogative pronoun. The base for many other question words like ինչու (why) and ինչպես (how).,"""INCH'"" your way closer, I can't hear ""what"" you said.",General
իմ,im,my,Սա իմ գիրքն է։ [This is my book.],"Root: ի (i). Possessive pronoun, first person singular.","It's all for 'IM'e, it's 'my' stuff!",General
ինը,inn@,9,Ես ինը տարեկան եմ։ [I am nine years old.],Cardinal number.,"Let's meet at the hotel ""INN@"" nine o'clock.",Numbers & Quantity
ինժեներ,inzhener,engineer,Հայրս ինժեներ է աշխատում։ [My father works as an engineer.],Root: ինժեներ (inzhener). A loanword from French via Russian. Definite form: ինժեները (inzhener@).,"The ""INZHENER"" works on the 'engine here'.",Professions & Occupations
ինչո՞ւ,inch'u,why,Ինչո՞ւ ես ուշացել։ [Why are you late?],Interrogative adverb. Derived from ինչ (inch' - what).,"""INCH'U"" (why) did you put an inch of goo on my shoe?",General
ինչպե՞ս,inch'pes,how,Ինչպե՞ս ես։ [How are you?],Interrogative adverb. Derived from ինչ (inch' - what) + պես (pes - like). Literally means 'like what?'.,"""INCH'PES"" do you get rid of these inch-pests? How?",General
ինչպիսի՞,inchpisi,what kind of,Ինչպիսի՞ երաժշտություն ես սիրում։ [What kind of music do you like?],Interrogative adjective. Derived from ինչ (inch' - what) + պիսի (pisi - type/kind).,"""INCHPISI"" pizza is this? What kind of fishy pizza is it?",General
ինչքա՞ն,inchk'an,how much,Այս գիրքը ինչքա՞ն արժե։ [How much does this book cost?],Interrogative adverb. Derived from ինչ (inch' - what) + քան (k'an - amount).,"""INCHK'AN"" you really carry? How much?",Numbers & Quantity
ինքը,ink'@,he / she,Ինքը շատ լավ է երգում։ [He/she sings very well.],"Personal pronoun, third person singular. Can mean 'he', 'she', or 'it', and is also used reflexively for 'himself/herself'.","He put the ""INK'@"" on himself.",People & Family
ինքնաթիռ,ink'nat'irr,airplane,Ես վաղը ինքնաթիռով մեկնում եմ Փարիզ։ [Tomorrow I'm leaving for Paris by airplane.],Compound word: ինքն (ink'n - self) + թիռ (t'irr - from 'to fly'). It's a 'self-flyer'. Definite form: ինքնաթիռը (ink'nat'irr@).,"The ""INK'NAT'IRR"" (airplane) flies itself with ink and tears.",Travel & Transportation
իսկ,isk,and / while / but,"Ես սիրում եմ սուրճ, իսկ դո՞ւ։ [I like coffee, and you?]","A conjunction used to show contrast ('but', 'while') or to connect a follow-up question ('and').","There ""ISK"" a risk, but we must proceed.",General
իր,ir,his / her (own),Նա վերցրեց իր գիրքը։ [He/She took his/her (own) book.],"Possessive pronoun, third person singular reflexive. It refers back to the subject of the sentence, meaning 'one's own'.","He put the book on ""IR"" (his own) ear.",General
իրավաբան,iravaban,lawyer,Իմ քույրը ուզում է իրավաբան դառնալ։ [My sister wants to become a lawyer.],Compound noun: իրավունք (right/law) + -աբան (suffix for professions). Definite form: իրավաբանը (iravabany).,"The lawyer said, 'You have a ban on entering!'",Professions & Occupations
իրավունք,iravunk',right,Բոլորը խոսելու իրավունք ունեն։ [Everyone has the right to speak.],Root: իրավ- (irav-). Definite form: իրավունքը (iravunk'y). The basis for 'lawyer' (իրավաբան).,You have oonk-ly one 'right' to choose.,General
իրենց,irents',their (own),Նրանք սիրում են իրենց նոր տունը։ [They love their new house.],"Possessive pronoun, 3rd person plural. Refers back to the subject of the sentence ('their own').",Their rents are too high for their own good.,General
լամպ,lamp,lamp,"Խնդրում եմ, միացրու լամպը, մութ է։ [Please turn on the lamp, it's dark.]",International borrowing. Definite form: լամպը (lampy).,Sounds exactly like the English word 'lamp'.,Home & Furniture
լավ,lav,good / well,"Ինչպե՞ս ես։ - Լավ եմ, շնորհակալություն։ [How are you? - I'm well, thank you.]",Adjective/Adverb. One of the most common and fundamental words in Armenian.,I 'love' feeling this good.,Adjectives & Qualities
լավաշ,lavash,lavash,Տատիկը թոնրում համեղ լավաշ է թխում։ [Grandma bakes delicious lavash in the tonir.],Noun. A traditional Armenian flatbread. Definite form: լավաշը (lavashy).,Lavish' the table with lots of 'lavash'.,Food & Dining
լացել,lats'el,to cry,Երեխան գիշերը սկսեց լացել։ [The child started to cry at night.],Verb. Infinitive: լացել (lats'el). Imperative: լաց (lats').,He started to cry over 'lots el'se.,Actions & Verbs
լիմոն,limon,lemon,Ես սիրում եմ թեյ լիմոնով ու շաքարով։ [I like tea with lemon and sugar.],International borrowing. Definite form: լիմոնը (limony).,Sounds almost exactly like the English word 'lemon'.,Food & Dining
լինել,linel,to be,"Երբ մեծանամ, ուզում եմ բժիշկ լինել։ [When I grow up, I want to be a doctor.]",Irregular verb. Infinitive: լինել (linel). Imperative: եղի՛ր (yeghir). A fundamental verb.,"To be or not to be, that's the 'line L'iam drew.",Actions & Verbs
լիտր,litr,liter,Ինձ խանութից մեկ լիտր կաթ է պետք։ [I need one liter of milk from the store.],"International borrowing, unit of measurement. Definite form: լիտրը (litry).",Sounds exactly like the English word 'liter'.,Numbers & Quantity
լոլիկ,lolik,tomato,Հայկական ամառային լոլիկը շատ համեղ է։ [Armenian summer tomatoes are very tasty.],Noun. Definite form: լոլիկը (loliky). Plural: լոլիկներ (lolikner).,"Lola, lick the tomato juice off your chin.",Food & Dining
լողալ,loghal,to swim,"Ամռանը մենք գնում ենք լողալու Սևանում։ [In the summer, we go to swim in Lake Sevan.]",Verb. Infinitive: լողալ (loghal). Imperative: լողա՛ (logha).,"To swim, you must 'log all' your laps.",Actions & Verbs
լողասենյակ,loghasenyak,bathroom,Լողասենյակը երկրորդ հարկում է։ [The bathroom is on the second floor.],Compound noun: լողալ (to swim/bathe) + սենյակ (room). Definite form: լողասենյակը (loghasenyaky).,"In the bathroom, a 'log' and a 'snake' are having a chat.",Home & Furniture
լսել,lsel,to hear / listen,Ես սիրում եմ դասական երաժշտություն լսել։ [I love to listen to classical music.],Verb. Infinitive: լսել (lsel). Imperative: լսի՛ր (lsir).,"To listen, you must 'sell' your silence.",Actions & Verbs
լվանալ,lvanal,to wash,Պետք է լվանալ ձեռքերը ուտելուց առաջ։ [You must wash your hands before eating.],Verb. Infinitive: լվանալ (lvanal). Imperative: լվա՛ (lva).,I need to wash the 'lava null'ifying my car's paint job.,Actions & Verbs
լվացված,lvats'vats,washed,Լվացված շորերը չորանում են արևի տակ։ [The washed clothes are drying in the sun.],"Past participle of լվանալ (to wash), used as an adjective.",The washed clothes are in 'lots of vats' ready to be dried.,Adjectives & Qualities
լրագրող,lragrogh,journalist,Լրագրողը թերթի համար հոդված է գրում։ [The journalist is writing an article for the newspaper.],Compound noun: լուր (news) + գրող (writer). Definite form: լրագրողը (lragroghy).,A journalist will 'lie grog'-gy in the morning to get the early news.,Professions & Occupations
խաղալ,khaghal,to play,Երեխաները բակում խաղում են։ [The children are playing in the yard.],Verb. Infinitive: խաղալ (khaghal). Imperative: խաղա՛ (khagha).,That 'gal' can really play! She's tough.,Actions & Verbs
խաղող,khaghogh,grape,Այս հայկական խաղողը շատ քաղցր է։ [This Armenian grape is very sweet.],Noun. Definite form: խաղողը (khaghoghy). Sounds similar to խաղալ (to play).,"Don't eat the grape, it will make you 'cough all' night.",Food & Dining
խանութ,khanut',shop / store,Ես խանութ եմ գնում հաց գնելու։ [I'm going to the shop to buy bread.],Noun. Definite form: խանութը (khanut'y).,You 'cannot' enter the shop without a mask.,Places & Buildings
խմել,khmel,to drink,Ես ամեն օր շատ ջուր եմ խմում։ [I drink a lot of water every day.],"Infinitive: խմել (khmel). Imperative (you, singular): խմի՛ր (khmir). The root is խմ- (khm-).",I could *khmel* (smell) the drink from across the room.,Actions & Verbs
խնդրեմ,khndrem,you're welcome / please,- Շնորհակալություն։ - Խնդրեմ։ [- Thank you. - You're welcome.],"From the verb խնդրել (khndrel) - to ask. It's the first-person present tense form, literally 'I ask'. Used as a set phrase for 'you're welcome' or a polite 'please'.",You're welcome! You don't have to *khndrem* (condemn) yourself with gratitude.,General
խնդրում եմ,khndrum em,please,"Խնդրում եմ, ինձ մի բաժակ սուրճ տվեք։ [Please, give me a cup of coffee.]",Literally 'I am asking'. A very common and polite way to say 'please'. From the verb խնդրել (khndrel).,"Please, *khndrum em* (I'm drumming) on the table for some service!",General
խնձոր,khndzor,apple,"Ես սիրում եմ ուտել հյութալի, կարմիր խնձոր։ [I love to eat juicy, red apples.]",Root: խնձոր (khndzor). Definite form: խնձորը (khndzoruh). Plural: խնձորներ (khndzorner).,An apple a day keeps the huge *khndzor* (condor) away.,Food & Dining
խոհանոց,khohanots',kitchen,Մայրիկս համեղ տորթ է թխում խոհանոցում։ [My mom is baking a delicious cake in the kitchen.],Root: խոհ (khoh) meaning 'thought' or 'culinary art'. The suffix -անոց (-anots') indicates a place. Definite form: խոհանոցը (khohanots'uh).,The *co-host notes* for the cooking show are all over the kitchen.,Home & Furniture
խոսել,khosel,to speak,Նա ազատ խոսում է երեք լեզվով։ [She speaks three languages fluently.],"Infinitive: խոսել (khosel). Imperative (you, singular): խոսի՛ր (khosir). Root: խոս- (khos-).","To speak, you have to get *khosel* (closer) to people.",Actions & Verbs
խոտ,khot,grass,"Գարնանը խոտը կանաչում է։ [In the spring, the grass turns green.]",Root: խոտ (khot). Definite form: խոտը (khotuh). Can also mean 'hay'.,The grass was so long it got *khot* (caught) in the lawnmower.,Nature & Environment
ծաղիկ,tsaghik,flower,Նա ինձ մի գեղեցիկ ծաղիկ նվիրեց։ [He gave me a beautiful flower.],Root: ծաղիկ (tsaghik). Definite form: ծաղիկը (tsaghikuh). Plural: ծաղիկներ (tsaghikner).,That flower has a *tsaghik* (psychic) ability to cheer people up.,Nature & Environment
ծանր,tsanr,heavy,"Այս արկղը շատ ծանր է, չեմ կարող բարձրացնել։ [This box is very heavy, I can't lift it.]",An adjective. Root: ծանր (tsanr). Can also mean 'difficult' or 'serious'.,"This is so heavy, my back is *tsanr* (sore).",Adjectives & Qualities
ծառ,tsarr,tree,"Այգում մի մեծ, հին ծառ կա։ [There is a big, old tree in the garden.]",Root: ծառ (tsarr). Definite form: ծառը (tsarruh). Plural: ծառեր (tsarrer).,The tree is covered in sticky *tsarr* (tar).,Nature & Environment
ծարավ,tsarav,thirsty,"Ես ծարավ եմ, մի բաժակ ջուր կտա՞ս։ [I am thirsty, will you give me a glass of water?]","An adjective describing a state. Often used with the verb 'to be' (եմ, ես, է...).","I'm so thirsty, I could drink an entire *tsar-av* (jar of) water.",Emotions & Physical States
ծեր,tser,old (people),"Իմ տատիկն ու պապիկը ծեր են, բայց շատ ակտիվ։ [My grandmother and grandfather are old, but very active.]","Adjective used for people. For objects, 'հին' (hin) is used. Root: ծեր (tser).","The old man said, 'Yes *tser* (sir), I remember everything.'",People & Family
ծիրան,tsiran,apricot,Հայաստանը հայտնի է իր քաղցր ծիրանով։ [Armenia is famous for its sweet apricot.],Root: ծիրան (tsiran). The apricot is a national symbol of Armenia. Definite form: ծիրանը (tsiranuh).,The apricot *tsi-ran* (she ran) away with the spoon.,Food & Dining
ծխել,tskhel,to smoke,Այստեղ ծխելը խստիվ արգելվում է։ [Smoking is strictly forbidden here.],"Infinitive: ծխել (tskhel). Imperative (you, singular): ծխի՛ր (tskhir). Root: ծուխ (tsukh) - smoke.",To smoke is to put your health in a *tsk-hel* (hell).,Actions & Verbs
ծույլ,tsuyl,lazy,"Մի՛ եղիր ծույլ, արի՛ գնանք զբոսնելու։ [Don't be lazy, let's go for a walk.]",An adjective. Root: ծույլ (tsuyl).,"The lazy person says, 'It's *tsuyl* (too) late to do anything.'",Adjectives & Qualities
